param N_paletes:=6;

param N_Niveis:=500;

param N_Racks:=50;

param H_MAX_RACK:=929;

param Palete:
#	Referencia	Altura	Largura	Taxa de >Utilizacao
	1	2	3	4:=
1	265 	109 	800 	11
2	273 	109 	800	7
3	262 	79	800 	15
4	274 	109 	800 	7
5	261 	61	800 	23
6	273 	109 	800 	7
;

param Nivel:
#	tempo	largura	rack
1	2	3	:=
358	25	3200	36
359	27	3200	36
360	30	3200	36
361	2	3200	37
362	3	3200	37
363	4	3200	37
364	6	3200	37
365	7	3200	37
366	9	3200	37
367	11	3200	37
368	14	3200	37
369	16	3200	37
370	19	3200	37
371	3	3200	38
372	4	3200	38
373	5	3200	38
374	7	3200	38
375	8	3200	38
376	10	3200	38
377	12	3200	38
378	15	3200	38
379	17	3200	38
380	20	3200	38
381	4	3200	39
382	5	3200	39
383	6	3200	39
384	8	3200	39
385	9	3200	39
386	11	3200	39
387	13	3200	39
388	16	3200	39
389	18	3200	39
390	21	3200	39
391	5	3200	40
392	6	3200	40
393	7	3200	40
394	9	3200	40
395	10	3200	40
396	12	3200	40
397	14	3200	40
398	17	3200	40
399	19	3200	40
400	22	3200	40
401	6	3200	41
402	7	3200	41
403	8	3200	41
404	10	3200	41
405	11	3200	41
406	13	3200	41
407	15	3200	41
408	18	3200	41
409	20	3200	41
410	23	3200	41
411	7	3200	42
412	8	3200	42
413	9	3200	42
414	11	3200	42
415	12	3200	42
416	14	3200	42
417	16	3200	42
418	19	3200	42
419	21	3200	42
420	24	3200	42
421	8	3200	43
422	9	3200	43
423	10	3200	43
424	12	3200	43
425	13	3200	43
426	15	3200	43
427	17	3200	43
428	20	3200	43
429	22	3200	43
430	25	3200	43
431	9	3200	44
432	10	3200	44
433	11	3200	44
434	13	3200	44
435	14	3200	44
436	16	3200	44
437	18	3200	44
438	21	3200	44
439	23	3200	44
440	26	3200	44
441	10	3200	45
442	11	3200	45
443	12	3200	45
444	14	3200	45
445	15	3200	45
446	17	3200	45
447	19	3200	45
448	22	3200	45
449	24	3200	45
450	27	3200	45
451	11	3200	46
452	12	3200	46
453	13	3200	46
454	15	3200	46
455	16	3200	46
456	18	3200	46
457	20	3200	46
458	23	3200	46
459	25	3200	46
460	28	3200	46
461	12	3200	47
462	13	3200	47
463	14	3200	47
464	16	3200	47
465	17	3200	47
466	19	3200	47
467	21	3200	47
468	24	3200	47
469	26	3200	47
470	29	3200	47
471	13	3200	48
472	14	3200	48
473	15	3200	48
474	17	3200	48
475	18	3200	48
476	20	3200	48
477	22	3200	48
478	25	3200	48
479	27	3200	48
480	30	3200	48
481	12	3200	49
482	13	3200	49
483	14	3200	49
484	16	3200	49
485	17	3200	49
486	19	3200	49
487	21	3200	49
488	24	3200	49
489	26	3200	49
490	29	3200	49
491	14	3200	50
492	15	3200	50
493	16	3200	50
494	18	3200	50
495	19	3200	50
496	21	3200	50
497	23	3200	50
498	26	3200	50
499	28	3200	50
500	31	3200	50
;
