param N_paletes:=60;

param N_Niveis:=500;

param N_Racks:=50;

param Palete:
#	Referencia	Altura	Largura	Taxa de >Utilizacao
	1	2	3	4:=
70	23	3200	7	
71	7	3200	8	
72	8	3200	8	
73	9	3200	8	
74	11	3200	8	
75	12	3200	8	
76	14	3200	8	
77	16	3200	8	
78	19	3200	8	
79	21	3200	8	
80	24	3200	8	
81	8	3200	9	
82	9	3200	9	
83	10	3200	9	
84	12	3200	9	
85	13	3200	9	
86	15	3200	9	
87	17	3200	9	
88	20	3200	9	
89	22	3200	9	
90	25	3200	9	
91	9	3200	10	
92	10	3200	10	
93	11	3200	10	
94	13	3200	10	
95	14	3200	10	
96	16	3200	10	
97	18	3200	10	
98	21	3200	10	
99	23	3200	10	
100	26	3200	10	
101	10	3200	11	
102	11	3200	11	
103	12	3200	11	
104	14	3200	11	
105	15	3200	11	
106	17	3200	11	
107	19	3200	11	
108	22	3200	11	
109	24	3200	11	
110	27	3200	11	
111	11	3200	12	
112	12	3200	12	
113	13	3200	12	
114	15	3200	12	
115	16	3200	12	
116	18	3200	12	
117	20	3200	12	
118	23	3200	12	
119	25	3200	12	
120	28	3200	12	
121	12	3200	13	
122	13	3200	13	
123	14	3200	13	
124	16	3200	13	
125	17	3200	13	
126	19	3200	13	
127	21	3200	13	
128	24	3200	13	
129	26	3200	13	
130	29	3200	13	
131	13	3200	14	
132	14	3200	14	
133	15	3200	14	
134	17	3200	14	
135	18	3200	14	
136	20	3200	14	
137	22	3200	14	
138	25	3200	14	
139	27	3200	14	
140	30	3200	14	
141	14	3200	15	
142	15	3200	15	
143	16	3200	15	
144	18	3200	15	
145	19	3200	15	
146	21	3200	15	
147	23	3200	15	
148	26	3200	15	
149	28	3200	15	
150	31	3200	15	
151	6	3200	16	
152	7	3200	16	
153	8	3200	16	
154	9	3200	16	
155	10	3200	16	
156	11	3200	16	
157	12	3200	16	
158	13	3200	16	
159	14	3200	16	
160	15	3200	16	
161	6	3200	17	
162	7	3200	17	
163	8	3200	17	
164	9	3200	17	
165	10	3200	17	
166	11	3200	17	
167	12	3200	17	
168	13	3200	17	
169	14	3200	17	
170	15	3200	17	
171	6	3200	18	
172	7	3200	18	
173	8	3200	18	
174	9	3200	18	
175	10	3200	18	
176	11	3200	18	
177	12	3200	18	
178	13	3200	18	
179	14	3200	18	
180	15	3200	18	
181	6	3200	19	
182	7	3200	19	
183	8	3200	19	
184	9	3200	19	
185	10	3200	19	
186	11	3200	19	
187	12	3200	19	
188	13	3200	19	
189	14	3200	19	
190	15	3200	19	
191	6	3200	20	
192	7	3200	20	
193	8	3200	20	
194	9	3200	20	
195	10	3200	20	
196	11	3200	20	
197	12	3200	20	
198	13	3200	20	
199	14	3200	20	
200	15	3200	20	
201	14	3200	21	
202	15	3200	21	
203	16	3200	21	
204	18	3200	21	
205	19	3200	21	
206	21	3200	21	
207	23	3200	21	
208	26	3200	21	
209	28	3200	21	
210	31	3200	21	
211	13	3200	22	
212	14	3200	22	
213	15	3200	22	
214	17	3200	22	
215	18	3200	22	
216	20	3200	22	
217	22	3200	22	
218	25	3200	22	
219	27	3200	22	
220	30	3200	22	
221	12	3200	23	
222	13	3200	23	
223	14	3200	23	
224	16	3200	23	
225	17	3200	23	
226	19	3200	23	
227	21	3200	23	
228	24	3200	23	
229	26	3200	23	
230	29	3200	23	
231	11	3200	24	
232	12	3200	24	
233	13	3200	24	
234	15	3200	24	
235	16	3200	24	
236	18	3200	24	
237	20	3200	24	
238	23	3200	24	
239	25	3200	24	
240	28	3200	24	
241	10	3200	25	
242	11	3200	25	
243	12	3200	25	
244	14	3200	25	
245	15	3200	25	
246	17	3200	25	
247	19	3200	25	
248	22	3200	25	
249	24	3200	25	
250	27	3200	25	
251	9	3200	26	
252	10	3200	26	
253	11	3200	26	
254	13	3200	26	
255	14	3200	26	
256	16	3200	26	
257	18	3200	26	
258	21	3200	26	
259	23	3200	26	
260	26	3200	26	
261	8	3200	27	
262	9	3200	27	
263	10	3200	27	
264	12	3200	27	
265	13	3200	27	
266	15	3200	27	
267	17	3200	27	
268	20	3200	27	
269	22	3200	27	
270	25	3200	27	
271	7	3200	28	
272	8	3200	28	
273	9	3200	28	
274	11	3200	28	
275	12	3200	28	
276	14	3200	28	
277	16	3200	28	
278	19	3200	28	
279	21	3200	28	
280	24	3200	28	
281	6	3200	29	
282	7	3200	29	
283	8	3200	29	
284	10	3200	29	
285	11	3200	29	
286	13	3200	29	
287	15	3200	29	
288	18	3200	29	
289	20	3200	29	
290	23	3200	29	
291	5	3200	30	
292	6	3200	30	
293	7	3200	30	
294	9	3200	30	
295	10	3200	30	
296	12	3200	30	
297	14	3200	30	
298	17	3200	30	
299	19	3200	30	
300	22	3200	30	
301	4	3200	31	
302	5	3200	31	
303	6	3200	31	
304	8	3200	31	
305	9	3200	31	
306	11	3200	31	
307	13	3200	31	
308	16	3200	31	
309	18	3200	31	
310	21	3200	31	
311	3	3200	32	
312	4	3200	32	
313	5	3200	32	
314	7	3200	32	
315	8	3200	32	
316	10	3200	32	
317	12	3200	32	
318	15	3200	32	
319	17	3200	32	
320	20	3200	32	
321	2	3200	33	
322	3	3200	33	
323	4	3200	33	
324	6	3200	33	
325	7	3200	33	
326	9	3200	33	
327	11	3200	33	
328	14	3200	33	
329	16	3200	33	
330	19	3200	33	
331	1	3200	34	
332	2	3200	34	
333	3	3200	34	
334	5	3200	34	
335	6	3200	34	
336	8	3200	34	
337	10	3200	34	
338	13	3200	34	
339	15	3200	34	
340	18	3200	34	
341	0	3200	35	
342	1	3200	35	
343	2	3200	35	
344	4	3200	35	
345	5	3200	35	
346	7	3200	35	
347	9	3200	35	
348	12	3200	35	
349	14	3200	35	
350	17	3200	35	
351	5	3200	36	
352	6	3200	36	
353	7	3200	36	
354	9	3200	36	
355	10	3200	36	
356	12	3200	36	
357	14	3200	36	
358	17	3200	36	
359	19	3200	36	
360	22	3200	36	
361	6	3200	37	
362	7	3200	37	
363	8	3200	37	
364	10	3200	37	
365	11	3200	37	
366	13	3200	37	
367	15	3200	37	
368	18	3200	37	
369	20	3200	37	
370	23	3200	37	
371	7	3200	38	
372	8	3200	38	
373	9	3200	38	
374	11	3200	38	
375	12	3200	38	
376	14	3200	38	
377	16	3200	38	
378	19	3200	38	
379	21	3200	38	
380	24	3200	38	
381	8	3200	39	
382	9	3200	39	
383	10	3200	39	
384	12	3200	39	
385	13	3200	39	
386	15	3200	39	
387	17	3200	39	
388	20	3200	39	
389	22	3200	39	
390	25	3200	39	
391	9	3200	40	
392	10	3200	40	
393	11	3200	40	
394	13	3200	40	
395	14	3200	40	
396	16	3200	40	
397	18	3200	40	
398	21	3200	40	
399	23	3200	40	
400	26	3200	40	
401	4	3200	41	
402	5	3200	41	
403	6	3200	41	
404	7	3200	41	
405	8	3200	41	
406	9	3200	41	
407	10	3200	41	
408	11	3200	41	
409	12	3200	41	
410	13	3200	41	
411	5	3200	42	
412	6	3200	42	
413	7	3200	42	
414	8	3200	42	
415	9	3200	42	
416	10	3200	42	
417	11	3200	42	
418	12	3200	42	
419	12	3200	42	
420	14	3200	42	
421	6	3200	43	
422	7	3200	43	
423	8	3200	43	
424	9	3200	43	
425	10	3200	43	
426	11	3200	43	
427	12	3200	43	
428	13	3200	43	
429	14	3200	43	
430	15	3200	43	
431	7	3200	44	
432	8	3200	44	
433	9	3200	44	
434	10	3200	44	
435	11	3200	44	
436	12	3200	44	
437	13	3200	44	
438	14	3200	44	
439	15	3200	44	
440	16	3200	44	
441	8	3200	45	
442	9	3200	45	
443	10	3200	45	
444	11	3200	45	
445	12	3200	45	
446	13	3200	45	
447	14	3200	45	
448	15	3200	45	
449	16	3200	45	
450	17	3200	45	
451	5	3200	46	
452	6	3200	46	
453	7	3200	46	
454	9	3200	46	
455	10	3200	46	
456	12	3200	46	
457	14	3200	46	
458	17	3200	46	
459	19	3200	46	
460	22	3200	46	
461	6	3200	47	
462	7	3200	47	
463	8	3200	47	
464	10	3200	47	
465	11	3200	47	
466	13	3200	47	
467	15	3200	47	
468	18	3200	47	
469	20	3200	47	
470	23	3200	47	
471	7	3200	48	
472	8	3200	48	
473	9	3200	48	
474	11	3200	48	
475	12	3200	48	
476	14	3200	48	
477	16	3200	48	
478	19	3200	48	
479	21	3200	48	
480	24	3200	48	
481	8	3200	49	
482	9	3200	49	
483	10	3200	49	
484	12	3200	49	
485	13	3200	49	
486	15	3200	49	
487	17	3200	49	
488	20	3200	49	
489	22	3200	49	
490	25	3200	49	
491	9	3200	50	
492	10	3200	50	
493	11	3200	50	
494	13	3200	50	
495	14	3200	50	
496	16	3200	50	
497	18	3200	50	
498	21	3200	50	
499	23	3200	50	
500	26	3200	50	
;
